session_id,datetime,pps_count
"15285870431775f9390a1-95d5-dfba-b3ca-737f34aacf92","2018-06-10 00:00:01.000",23
"15285886530817384c1c2-a9dc-232b-deac-b288d8829a0a","2018-06-10 00:00:17.000",5
"152858872669187d84d53-bcca-9fe3-cb88-61db39c96f43","2018-06-10 00:00:23.000",2
"15285886152018c97ab69-ded0-371c-90e9-d08be75d87bb","2018-06-10 00:00:25.000",1
"15285885849393bf44d54-3566-bee8-7dfd-150b05fc5ebd","2018-06-10 00:00:26.000",37
"15285883951892e269f8e-5eb5-422d-c315-5f60040042a0","2018-06-10 00:00:50.000",38
"1528587769703fc60720e-f8ee-027a-7b45-e1d43ec2a3e4","2018-06-10 00:00:54.000",24
"1528588892040c33bb9a3-24c4-8f3f-0f6e-df56bb4c7974","2018-06-10 00:01:34.000",1
"15285888067236121c6f8-82ca-04fd-8931-093c8f8b7089","2018-06-10 00:01:35.000",13
"1528588903679f010d50f-9efc-45f3-a080-8e4c612553a5","2018-06-10 00:01:45.000",1
"1528588875734f88af0b3-94d1-5077-21d1-2fcbccd8edd7","2018-06-10 00:01:54.000",8
"1528588917827d4229a51-4118-052e-aa8b-53c04a5bf938","2018-06-10 00:01:59.000",1
"15285889202662896bd5d-be68-c735-61b5-f9b9ea687fdf","2018-06-10 00:02:01.000",1
"1528588948678fdb477a8-7101-25b4-8928-2d726e4260a4","2018-06-10 00:02:29.000",29
"1528588952109c0676150-c928-2895-7095-9688188d4053","2018-06-10 00:02:34.000",47
"1528588954667aa9e89f1-3ccf-a839-6c35-71e44c43e140","2018-06-10 00:02:36.000",1
"1528588829750ec1d2e79-a38f-3f2c-62fd-79f767d92c78","2018-06-10 00:03:15.000",1
"15285889981447bf59796-7a17-db4c-85ee-1134d25c6b9c","2018-06-10 00:03:18.000",1
"15285890121537e43789c-ff58-821a-b8f5-233b010774a4","2018-06-10 00:03:23.000",41
"152858901880482e799d9-0ca6-9864-9739-6e89bcbf816a","2018-06-10 00:03:39.000",1
"1528589021551f5e70858-a742-cf7b-6e83-2dc4f75cc3f4","2018-06-10 00:03:41.000",1
"15285890286721e05f107-ac31-f02c-3715-e6c74e2f296d","2018-06-10 00:03:48.000",1
"152858906441707f3cd3a-c6b9-0004-6fb5-3362c9d70354","2018-06-10 00:04:25.000",4
"1528589062844025dd9fe-1059-ba1b-bd3b-beea7f4875f9","2018-06-10 00:04:32.000",1
"15285890719952641ce0f-0550-ee92-3dca-39c7df4f5990","2018-06-10 00:04:35.000",1
"15285890818749a27b4e6-907f-380f-6fcc-5d7178c5f405","2018-06-10 00:04:43.000",49
"1528589089732f2d26555-5346-713c-a097-6ba7a8d0d43e","2018-06-10 00:04:50.000",3
"152858917998786c154bd-ecd9-b229-ae01-713c490254b0","2018-06-10 00:04:53.000",9
"1528589109199385aa8c0-e78b-9b31-0c8d-7100b903abc5","2018-06-10 00:05:10.000",1
"152858911011862ff1136-3e0f-c762-e219-0671594cd636","2018-06-10 00:05:10.000",6
"152858912807172fcc3dd-77a5-4510-3c7d-e499d492aba5","2018-06-10 00:05:28.000",1
"1528587434928d079b01f-a53e-47be-f107-d04149b37e3a","2018-06-10 00:06:02.000",21
"15285892019820fb07267-929c-cc1a-aea9-c8af08764017","2018-06-10 00:06:41.000",1
"1528589212824d4c00d21-b8a7-86c9-7445-f82974dffc06","2018-06-10 00:06:53.000",12
"1528589214521515f787a-839c-0550-8e5a-3be6256dcb9e","2018-06-10 00:06:55.000",1
"1528589223758d2ed1f95-f644-64d5-0ba1-11e89b16ded7","2018-06-10 00:07:05.000",1
"152858923886336bf37af-24f4-1c57-4aba-0ec15768db90","2018-06-10 00:07:19.000",1
"15285892470750735e598-473f-c89d-8bd7-c3e0e3846ab0","2018-06-10 00:07:28.000",2
"1528589273257c7247832-2768-8368-ebd2-4c40120d6ad0","2018-06-10 00:07:53.000",1
"1528589280547dde23ff9-8c1e-05ee-2575-d1ee8ebd0b92","2018-06-10 00:08:02.000",2
"1528589286000c3e60440-cf3f-14a5-b66d-61e9f92a2c21","2018-06-10 00:08:06.000",9
"152858929867805529f1c-e974-1528-9527-0b0a3ddfa9c7","2018-06-10 00:08:19.000",13
"1528589302047893bbcfe-9c0b-2ac2-c304-a096042bece0","2018-06-10 00:08:22.000",4
"15285893276382fcab0be-6b8c-ab93-5597-b201940d5ae0","2018-06-10 00:08:47.000",1
"152858933475040c42ef7-ef83-cef2-f9d5-3bdd180dffaa","2018-06-10 00:08:55.000",1
"152858933658921d71260-688e-e98a-c777-c0291420b7f9","2018-06-10 00:08:57.000",7
"15285893426480a712699-a1eb-011c-fcdd-94346012261a","2018-06-10 00:09:03.000",10
"15285893472610ca639ed-b107-a90f-257f-d2d7f8e42cd4","2018-06-10 00:09:11.000",48
"1528589373571c2dc0d77-810f-1479-0fa0-203bba0c12ed","2018-06-10 00:09:33.000",6
"1528589372276d4f1e7bf-13bf-a1dd-a714-df939d8dd45f","2018-06-10 00:09:33.000",1
"1528589404220a2629ce1-3775-bf13-673a-a4f83065d319","2018-06-10 00:10:05.000",7
"15285894299479f057f8c-7fd1-4b27-1877-9234c1474459","2018-06-10 00:10:30.000",1
"1528589508859186ccf89-1fbe-1a76-fc53-e39e1d592545","2018-06-10 00:10:31.000",3
